merchant_id,metric_date,gross_revenue,net_revenue,product_costs,marketing_costs,fulfillment_costs,processing_fees,other_costs,dt,shop_id
trueprofit-dummy-01-oj9m.myshopify.com,2026-01-21,8239.65,1588.35,3577.96,1832.43,806.74,210.05,224.11,2026-01-21,trueprofit-dummy-01-oj9m.myshopify.com
trueprofit-dummy-01-oj9m.myshopify.com,2026-01-20,12808.04,3328.45,5105.67,2431.69,1424.97,393.05,124.22,2026-01-20,trueprofit-dummy-01-oj9m.myshopify.com
trueprofit-dummy-01-oj9m.myshopify.com,2026-01-19,11058.82,2395.37,4244.78,2756.44,1038.28,358.56,265.4,2026-01-19,trueprofit-dummy-01-oj9m.myshopify.com
trueprofit-dummy-01-oj9m.myshopify.com,2026-01-18,8828.18,2533.3,3301.3,1802.34,735.77,308.7,146.76,2026-01-18,trueprofit-dummy-01-oj9m.myshopify.com
trueprofit-dummy-01-oj9m.myshopify.com,2026-01-17,4793.32,1344.02,2031.86,787.23,419.61,139.87,70.73,2026-01-17,trueprofit-dummy-01-oj9m.myshopify.com
trueprofit-dummy-01-oj9m.myshopify.com,2026-01-16,9795.48,2288.36,3957.26,2371.93,888.36,279.41,10.16,2026-01-16,trueprofit-dummy-01-oj9m.myshopify.com
trueprofit-dummy-01-oj9m.myshopify.com,2026-01-15,8556.43,2080.73,3443.73,1809.79,784.74,242.35,195.1,2026-01-15,trueprofit-dummy-01-oj9m.myshopify.com
trueprofit-dummy-01-oj9m.myshopify.com,2026-01-14,9169.02,1975.12,3849.64,2193.93,779.04,288.56,82.73,2026-01-14,trueprofit-dummy-01-oj9m.myshopify.com
trueprofit-dummy-01-oj9m.myshopify.com,2026-01-13,8122.53,2138.38,3192.44,1458.84,862.92,263.49,206.46,2026-01-13,trueprofit-dummy-01-oj9m.myshopify.com
trueprofit-dummy-01-oj9m.myshopify.com,2026-01-12,8670.26,1409.41,3773.42,2137.74,1037.54,251.8,60.36,2026-01-12,trueprofit-dummy-01-oj9m.myshopify.com
trueprofit-dummy-01-oj9m.myshopify.com,2026-01-11,6500.43,1223.58,2764.99,1577.1,740.95,164.43,29.38,2026-01-11,trueprofit-dummy-01-oj9m.myshopify.com
trueprofit-dummy-01-oj9m.myshopify.com,2026-01-10,9535.99,2655.56,3584.3,1929.89,904.52,301.4,160.32,2026-01-10,trueprofit-dummy-01-oj9m.myshopify.com
trueprofit-dummy-01-oj9m.myshopify.com,2026-01-09,10804.68,3094.54,4133.06,2088.63,966.57,289.87,231.99,2026-01-09,trueprofit-dummy-01-oj9m.myshopify.com
trueprofit-dummy-01-oj9m.myshopify.com,2026-01-08,8618.97,2379.9,3155.41,1776.98,919.66,272.36,114.66,2026-01-08,trueprofit-dummy-01-oj9m.myshopify.com
trueprofit-dummy-01-oj9m.myshopify.com,2026-01-07,7352.71,1941.52,2659.59,1641.24,850.76,195.54,64.07,2026-01-07,trueprofit-dummy-01-oj9m.myshopify.com
trueprofit-dummy-01-oj9m.myshopify.com,2026-01-06,7981.76,1632.01,3130.34,1921.77,941.9,265.9,89.85,2026-01-06,trueprofit-dummy-01-oj9m.myshopify.com
trueprofit-dummy-01-oj9m.myshopify.com,2026-01-05,7651.46,1685.81,3022.76,1790.52,701.01,227.28,224.08,2026-01-05,trueprofit-dummy-01-oj9m.myshopify.com
trueprofit-dummy-01-oj9m.myshopify.com,2026-01-04,10308.33,3110.76,4003.0,1597.67,1112.6,329.18,155.13,2026-01-04,trueprofit-dummy-01-oj9m.myshopify.com
trueprofit-dummy-01-oj9m.myshopify.com,2026-01-03,8277.61,2008.55,3090.2,1962.99,762.47,220.16,233.24,2026-01-03,trueprofit-dummy-01-oj9m.myshopify.com
trueprofit-dummy-01-oj9m.myshopify.com,2026-01-02,7984.28,2155.27,3477.76,1311.9,755.12,235.92,48.31,2026-01-02,trueprofit-dummy-01-oj9m.myshopify.com
trueprofit-dummy-01-oj9m.myshopify.com,2026-01-01,7260.42,1519.82,3237.77,1273.51,798.77,233.5,197.06,2026-01-01,trueprofit-dummy-01-oj9m.myshopify.com
trueprofit-dummy-01-oj9m.myshopify.com,2025-12-31,13873.75,3286.12,5893.09,2607.95,1463.27,415.64,207.67,2025-12-31,trueprofit-dummy-01-oj9m.myshopify.com
trueprofit-dummy-01-oj9m.myshopify.com,2025-12-30,20722.47,4216.25,9076.11,4564.37,2214.69,526.14,124.92,2025-12-30,trueprofit-dummy-01-oj9m.myshopify.com
trueprofit-dummy-01-oj9m.myshopify.com,2025-12-29,11550.33,2714.71,5141.35,2250.29,961.23,353.56,129.19,2025-12-29,trueprofit-dummy-01-oj9m.myshopify.com
trueprofit-dummy-01-oj9m.myshopify.com,2025-12-28,6326.65,1352.55,2670.41,1311.53,698.86,199.2,94.09,2025-12-28,trueprofit-dummy-01-oj9m.myshopify.com
trueprofit-dummy-01-oj9m.myshopify.com,2025-12-27,13062.09,3979.64,5070.91,2055.27,1308.82,430.72,216.73,2025-12-27,trueprofit-dummy-01-oj9m.myshopify.com
trueprofit-dummy-01-oj9m.myshopify.com,2025-12-26,15085.37,4234.36,5984.12,2349.87,1676.53,448.76,391.73,2025-12-26,trueprofit-dummy-01-oj9m.myshopify.com
